Gene,sgRNA,T47D_veh|beta,T47D_veh|z,T47D_veh|p-value,T47D_veh|fdr,T47D_veh|wald-p-value,T47D_veh|wald-fdr,T47D_E2|beta,T47D_E2|z,T47D_E2|p-value,T47D_E2|fdr,T47D_E2|wald-p-value,T47D_E2|wald-fdr,MCF7_veh|beta,MCF7_veh|z,MCF7_veh|p-value,MCF7_veh|fdr,MCF7_veh|wald-p-value,MCF7_veh|wald-fdr,MCF7_E2|beta,MCF7_E2|z,MCF7_E2|p-value,MCF7_E2|fdr,MCF7_E2|wald-p-value,MCF7_E2|wald-fdr
MAP1LC3C,6,0.080929,1.696,0.88402,0.98948,0.089895,0.12957,0.40699,8.1913,0.06931,0.70697,2.58E-16,7.17E-15,-0.035813,-0.72726,0.66381,0.96549,0.46707,0.54005,0.12075,2.4849,0.66051,0.95631,0.012958,0.025158
CLEC4M,6,0.080966,1.6129,0.88398,0.98948,0.10676,0.15055,0.1959,3.579,0.44497,0.93112,0.00034487,0.0010436,0.2298,4.6047,0.39308,0.90168,4.13E-06,1.42E-05,-0.026159,-0.49755,0.71616,0.96254,0.6188,0.68775
RASL12,6,0.081011,1.4719,0.88393,0.98948,0.14105,0.19256,0.10415,1.8967,0.78474,0.98053,0.057869,0.095449,0.25715,5.216,0.32592,0.87515,1.83E-07,7.88E-07,0.078173,1.5299,0.83832,0.98101,0.12605,0.18273
FAM53C,6,0.081092,1.5561,0.88366,0.98943,0.11967,0.16658,0.0065396,0.11,0.80949,0.98247,0.91241,0.93592,0.45877,9.1675,0.065185,0.68649,4.84E-20,1.08E-18,0.12675,2.3806,0.63585,0.95586,0.017284,0.032471
RUNX1T1,6,0.081101,1.621,0.88361,0.98943,0.10501,0.14854,0.26592,4.9395,0.25941,0.85886,7.83E-07,4.20E-06,0.36885,7.5648,0.13624,0.77182,3.89E-14,4.34E-13,0.26891,5.3859,0.21068,0.82245,7.21E-08,4.37E-07
SMAP1,6,0.08114,1.6109,0.88347,0.98942,0.10719,0.15108,0.2142,3.9421,0.38946,0.91496,8.08E-05,0.00028251,0.017605,0.3408,0.85968,0.98382,0.73325,0.784,0.10221,1.9847,0.73569,0.96519,0.047182,0.078085
GDF5,6,0.081205,1.6937,0.88325,0.98932,0.090321,0.1301,-0.046015,-0.85243,0.60917,0.96144,0.39398,0.48423,0.34393,7.3074,0.16585,0.79269,2.72E-13,2.72E-12,0.11325,2.3178,0.69044,0.96116,0.020462,0.037644
EMR3,6,0.081212,1.6887,0.88325,0.98932,0.091278,0.13128,-0.011173,-0.20843,0.74142,0.9759,0.8349,0.87558,0.18624,3.8703,0.51799,0.93446,0.00010868,0.00029256,-0.0054399,-0.10918,0.80147,0.97608,0.91306,0.93531
INCA1,6,0.081321,1.4905,0.88306,0.98932,0.1361,0.18663,-0.023717,-0.40574,0.69205,0.96962,0.68493,0.7522,-0.07267,-1.3633,0.54068,0.93931,0.1728,0.22928,-0.07233,-1.3408,0.54518,0.94248,0.17999,0.24797
RPL7L1,6,0.081328,1.5017,0.88302,0.98932,0.13317,0.18311,0.42908,7.6221,0.055283,0.6709,2.50E-14,5.05E-13,-0.23246,-4.0243,0.18464,0.80652,5.72E-05,0.00016121,-0.039927,-0.7057,0.66115,0.95631,0.48038,0.56208
ARL17A,5,0.08141,1.5087,0.88265,0.98926,0.13138,0.18095,-0.23759,-3.6798,0.16787,0.81767,0.00023339,0.00073757,-0.073952,-1.3136,0.53633,0.93866,0.18898,0.24797,-0.13483,-2.3419,0.3548,0.89724,0.019185,0.035595
TFDP1,6,0.081416,1.7583,0.88265,0.98926,0.078704,0.1151,-0.19867,-3.7627,0.22008,0.84325,0.00016807,0.00054829,0.041225,0.87527,0.95366,0.99443,0.38143,0.45511,-0.12096,-2.4939,0.39271,0.91023,0.012636,0.024626
MAPKAP1,6,0.081425,1.5041,0.88265,0.98926,0.13257,0.18236,-0.31084,-4.5301,0.099152,0.75182,5.90E-06,2.65E-05,-0.13131,-2.2719,0.37433,0.89139,0.023092,0.038813,0.026802,0.47308,0.93587,0.99367,0.63615,0.70356
C15orf43,6,0.08144,1.793,0.88265,0.98926,0.072971,0.10768,-0.021498,-0.43462,0.70016,0.97134,0.66384,0.73418,0.015986,0.34597,0.85276,0.9832,0.72937,0.78095,0.16407,3.5808,0.49686,0.93416,0.00034253,0.00097437
FUT8,6,0.081486,1.5265,0.88251,0.98926,0.1269,0.17545,-0.20441,-3.1846,0.21261,0.84171,0.0014495,0.0037496,-0.20805,-3.6254,0.22205,0.8333,0.00028853,0.00071478,-0.042529,-0.75582,0.65171,0.95631,0.44976,0.53302
FAM127B,6,0.081493,1.4659,0.88251,0.98926,0.14266,0.19444,0.062832,1.0518,0.95732,0.99572,0.2929,0.37858,0.10825,2.0477,0.78776,0.98025,0.04059,0.064122,0.12914,2.4221,0.62631,0.95586,0.01543,0.029353
DZANK1,6,0.081532,1.6203,0.88247,0.98926,0.10518,0.14873,-0.10362,-1.7597,0.43172,0.9298,0.078459,0.12412,0.15897,3.143,0.60605,0.95432,0.0016725,0.0035805,0.049636,0.95288,0.9653,0.99518,0.34065,0.42343
ZKSCAN5,6,0.081559,1.6305,0.88233,0.98926,0.10299,0.14598,0.37758,7.1604,0.093193,0.74324,8.04E-13,1.27E-11,0.25808,5.2115,0.32372,0.8739,1.87E-07,8.05E-07,-0.050287,-0.95522,0.62145,0.95395,0.33946,0.4222
FAM219B,6,0.081565,1.7652,0.88233,0.98926,0.077538,0.1136,0.16468,3.334,0.54921,0.94918,0.000856,0.002345,0.034075,0.72471,0.92496,0.99131,0.46863,0.54143,0.0077772,0.1636,0.85643,0.98363,0.87004,0.90089
ACBD6,6,0.081634,1.4322,0.88201,0.98926,0.15209,0.20563,-0.27413,-3.6452,0.12831,0.78548,0.00026723,0.0008315,-0.26002,-4.0606,0.14981,0.7805,4.90E-05,0.00013988,-0.24308,-3.7447,0.15421,0.7816,0.00018062,0.00054816
HOXD11,6,0.081682,1.4895,0.88187,0.98926,0.13636,0.1869,0.24026,3.9796,0.31877,0.88746,6.90E-05,0.00024502,0.097833,1.7521,0.82787,0.98273,0.079764,0.11635,0.15505,2.7726,0.52789,0.93873,0.0055605,0.011877
ALYREF,6,0.081683,1.6337,0.88187,0.98926,0.10231,0.14509,0.0097576,0.17119,0.82356,0.98498,0.86407,0.89932,-0.087323,-1.6656,0.49654,0.93297,0.095799,0.13673,0.031499,0.60677,0.95595,0.99508,0.544,0.62068
BAZ1A,6,0.081728,1.7472,0.88173,0.98926,0.0806,0.11752,0.15754,3.1258,0.57722,0.95632,0.001773,0.0044824,0.11819,2.5049,0.75109,0.97897,0.012248,0.021849,0.062323,1.3008,0.90827,0.98998,0.19332,0.26381
PAN3,6,0.081751,1.4001,0.88169,0.98926,0.16148,0.21647,0.059961,0.88483,0.96901,0.99651,0.37625,0.46636,0.028483,0.47093,0.90268,0.98964,0.63769,0.70004,0.23021,3.9213,0.30099,0.88028,8.81E-05,0.00028668
CCR5,6,0.081761,1.7456,0.88164,0.98926,0.080878,0.11786,0.15615,3.0886,0.58276,0.95694,0.0020108,0.0050212,0.0086531,0.18055,0.82471,0.98263,0.85672,0.88722,-0.029245,-0.60162,0.7041,0.9625,0.54743,0.62404
IDH3B,6,0.081761,1.6185,0.88164,0.98926,0.10555,0.14918,0.10418,1.9214,0.78446,0.98053,0.05468,0.09107,-0.18034,-3.4198,0.26844,0.85401,0.00062678,0.001461,-0.053292,-1.0197,0.61091,0.95384,0.30786,0.38931
KISS1,6,0.081767,1.5585,0.88164,0.98926,0.11911,0.16584,-0.38664,-5.8775,0.055375,0.6709,4.16E-09,3.46E-08,0.10521,1.9764,0.79963,0.98139,0.04811,0.074551,0.12924,2.4108,0.62599,0.95577,0.015916,0.03019
SLC6A7,6,0.081768,1.5666,0.88164,0.98926,0.1172,0.16347,-0.029069,-0.4814,0.67151,0.96795,0.63023,0.70483,-0.30359,-4.8372,0.1074,0.7329,1.32E-06,4.92E-06,0.007916,0.145,0.85707,0.9839,0.88471,0.91261
SOCS2,6,0.081789,1.6789,0.88155,0.98926,0.093162,0.1337,0.29194,5.6206,0.20678,0.84098,1.90E-08,1.40E-07,0.0090505,0.18079,0.82672,0.98273,0.85653,0.88711,0.055798,1.1115,0.93683,0.99382,0.26637,0.34448
MFAP2,6,0.081794,1.6633,0.88155,0.98926,0.096244,0.13755,0.12661,2.3743,0.69324,0.96962,0.017581,0.033995,0.33745,6.9784,0.17438,0.79736,2.98E-12,2.58E-11,0.17177,3.457,0.47032,0.93021,0.0005463,0.0014827
MEX3C,6,0.0818,1.6472,0.88155,0.98926,0.099517,0.14166,0.34725,6.5849,0.12505,0.78257,4.55E-11,5.42E-10,0.081954,1.6214,0.88833,0.98829,0.10494,0.14803,0.1045,2.0527,0.72624,0.96482,0.0401,0.06788
MIS18A,6,0.081947,1.6072,0.88109,0.98926,0.10802,0.15203,-0.2347,-3.7801,0.1719,0.81989,0.00015674,0.00051387,-0.045986,-0.86457,0.62925,0.96108,0.38727,0.46098,-0.10328,-1.8961,0.44084,0.92156,0.057945,0.093448
TMEM235,6,0.081959,1.6359,0.881,0.98926,0.10187,0.14453,-0.023447,-0.4128,0.69315,0.96962,0.67975,0.74806,-0.18697,-3.5116,0.25675,0.84928,0.0004455,0.001067,-0.19405,-3.5979,0.22842,0.8323,0.00032077,0.00091903
CCR3,6,0.081992,1.8054,0.88077,0.98926,0.071016,0.10515,-0.092791,-1.852,0.46133,0.93421,0.064026,0.10408,-0.11734,-2.5015,0.40976,0.9068,0.012368,0.022041,-0.064966,-1.383,0.56979,0.94631,0.16667,0.23214
TMEM185A,6,0.082006,1.5273,0.88068,0.98926,0.1267,0.17522,0.11621,1.9089,0.73376,0.97527,0.056279,0.093221,0.27085,5.1184,0.29622,0.86657,3.08E-07,1.28E-06,0.25259,4.7009,0.24446,0.84225,2.59E-06,1.17E-05
ADORA3,6,0.082022,1.6209,0.88063,0.98926,0.10504,0.14856,0.23034,4.1779,0.34522,0.8972,2.94E-05,0.00011336,0.067649,1.3091,0.94183,0.99223,0.19049,0.24965,0.043275,0.82424,0.99303,0.99871,0.4098,0.49345
KCNJ12,4,0.082045,1.3638,0.88059,0.98926,0.17264,0.22956,-0.010965,-0.16036,0.74242,0.9759,0.8726,0.90526,-0.083984,-1.3356,0.5069,0.93369,0.18167,0.23949,-0.24304,-3.7085,0.1543,0.78188,0.00020848,0.0006242
ITGA7,6,0.082048,1.6134,0.88059,0.98926,0.10667,0.15046,0.46209,8.798,0.04066,0.6407,1.39E-18,5.05E-17,0.1027,1.9953,0.80903,0.98181,0.046015,0.071665,0.05431,1.0385,0.94343,0.99445,0.29905,0.37989
RABAC1,6,0.082057,1.7371,0.8805,0.98926,0.082367,0.11976,-0.11137,-2.0816,0.40843,0.92152,0.037381,0.065531,-0.08497,-1.7351,0.50429,0.93369,0.082725,0.12007,-0.053746,-1.0922,0.60903,0.95339,0.27473,0.35383
SNTG2,6,0.082169,1.6774,0.88017,0.98926,0.093457,0.13405,0.25539,4.8449,0.28274,0.8717,1.27E-06,6.52E-06,0.046533,0.92906,0.9724,0.99657,0.35286,0.42542,0.046617,0.92099,0.97896,0.99664,0.35706,0.44031
CEACAM20,6,0.082245,1.7795,0.87981,0.98926,0.075157,0.11056,0.19034,3.8643,0.46266,0.93429,0.00011142,0.00037707,-0.045895,-0.96617,0.62957,0.96108,0.33396,0.40632,0.035199,0.74252,0.9719,0.9955,0.45777,0.54028
POM121,5,0.082246,1.531,0.87981,0.98926,0.12577,0.17408,-0.18803,-3.0158,0.23763,0.84438,0.0025633,0.0062389,0.12974,2.395,0.7074,0.97117,0.01662,0.028822,-0.30232,-5.1631,0.094751,0.69362,2.43E-07,1.34E-06
KRT80,6,0.082319,1.718,0.87953,0.98926,0.085804,0.12431,0.31321,6.1728,0.17231,0.81989,6.71E-10,6.45E-09,-0.023526,-0.47612,0.70791,0.97117,0.63399,0.69671,0.0069886,0.14069,0.8535,0.98316,0.88811,0.91517
OR13C2,6,0.082343,1.7757,0.87935,0.98926,0.075776,0.11135,-0.011017,-0.21544,0.7422,0.9759,0.82943,0.87179,0.090957,1.9394,0.85262,0.9832,0.052451,0.080551,0.15673,3.3423,0.52308,0.93873,0.00083096,0.0021683
MAK,6,0.08239,1.5581,0.8793,0.98926,0.11921,0.16597,0.054792,0.89841,0.99065,0.99885,0.36897,0.45884,0.12209,2.2781,0.73614,0.9757,0.022719,0.038233,0.28079,5.3339,0.19001,0.80023,9.61E-08,5.70E-07
C19orf10,6,0.082458,1.7204,0.87907,0.98926,0.085362,0.12374,0.18323,3.5388,0.48801,0.94216,0.00040197,0.0011945,0.19322,4.0318,0.49746,0.93297,5.54E-05,0.00015668,-0.064806,-1.2916,0.57039,0.94631,0.1965,0.2673
OR1K1,6,0.082505,1.6174,0.87884,0.98926,0.1058,0.1495,-0.26395,-3.94,0.13894,0.79491,8.15E-05,0.00028458,-0.016993,-0.32077,0.72991,0.97472,0.74839,0.79631,-0.13263,-2.4145,0.36136,0.90029,0.015759,0.02992
CHIC1,6,0.082679,1.7289,0.87825,0.98926,0.083821,0.12167,0.068985,1.3068,0.93064,0.99456,0.19127,0.26529,0.13051,2.7071,0.70447,0.97117,0.0067876,0.012816,0.054912,1.1168,0.94073,0.99439,0.2641,0.34202
ARHGEF1,6,0.082765,1.7783,0.8777,0.98926,0.075358,0.11084,0.21497,4.338,0.38707,0.91356,1.44E-05,5.95E-05,-0.11967,-2.4739,0.40376,0.90655,0.013364,0.023669,0.052208,1.0947,0.95343,0.99508,0.27364,0.35264
RBM33,6,0.082822,1.579,0.87756,0.98926,0.11434,0.15986,0.071184,1.1927,0.92198,0.99456,0.23297,0.31252,0.19128,3.469,0.50282,0.93365,0.00052239,0.0012375,0.21514,4.0711,0.34009,0.89331,4.68E-05,0.00016184
DYSF,6,0.082853,1.5911,0.87747,0.98926,0.11159,0.15641,0.1791,3.1167,0.5014,0.94521,0.0018288,0.0046084,0.19916,3.8288,0.47843,0.92825,0.00012878,0.000342,-0.097631,-1.7565,0.46083,0.92774,0.079,0.12222
TBC1D2B,6,0.082899,1.6749,0.87742,0.98926,0.093959,0.13468,0.17298,3.1763,0.52116,0.94701,0.0014917,0.0038482,0.1837,3.7063,0.52542,0.9364,0.00021034,0.00053624,0.10243,2.0178,0.73472,0.96508,0.043614,0.07293
ZP3,6,0.082954,1.6505,0.87719,0.98925,0.098847,0.14078,0.0036492,0.063712,0.79798,0.98209,0.9492,0.96315,0.2201,4.3978,0.42003,0.91047,1.09E-05,3.51E-05,0.091309,1.7678,0.78217,0.9731,0.077093,0.11959
IMPDH1,6,0.082957,1.5479,0.87719,0.98925,0.12166,0.16899,-0.18164,-2.7732,0.24813,0.84684,0.005551,0.012383,0.051454,0.93429,0.99207,0.99843,0.35016,0.4228,0.12861,2.3411,0.62842,0.95586,0.019228,0.035669
OBFC1,6,0.08301,1.6525,0.87706,0.98925,0.098424,0.14028,-0.13839,-2.3498,0.33922,0.8949,0.018785,0.036011,0.23624,4.7341,0.3768,0.89387,2.20E-06,7.93E-06,0.21731,4.2994,0.33349,0.89169,1.71E-05,6.48E-05
C17orf100,6,0.08303,1.7468,0.87697,0.98919,0.08068,0.11761,-0.15004,-2.7498,0.31089,0.88613,0.0059629,0.013181,-0.41098,-7.3786,0.049324,0.6528,1.60E-13,1.64E-12,-0.15682,-3.1101,0.30268,0.88042,0.0018705,0.004497
CREB3,6,0.08316,1.653,0.87664,0.98909,0.098331,0.14017,0.33154,6.1689,0.14453,0.79869,6.88E-10,6.60E-09,0.1236,2.4287,0.73078,0.97485,0.015152,0.02655,0.11265,2.0248,0.69306,0.96175,0.042892,0.071905
OSM,6,0.083203,1.4882,0.87651,0.98903,0.1367,0.18731,0.005837,0.089248,0.80669,0.98212,0.92888,0.94857,0.26475,4.8009,0.30846,0.87049,1.58E-06,5.83E-06,0.022873,0.38983,0.9196,0.99179,0.69666,0.75629
ACAD10,6,0.08321,1.7375,0.87646,0.98903,0.082296,0.11966,0.21109,4.1183,0.39885,0.9174,3.82E-05,0.00014346,0.19705,4.1166,0.48508,0.93053,3.85E-05,0.00011197,0.064847,1.3208,0.89645,0.98998,0.18657,0.25567
ABCD1,6,0.083258,1.7341,0.87642,0.98903,0.082905,0.12043,0.32587,6.421,0.15315,0.80886,1.35E-10,1.47E-09,-0.33987,-6.5045,0.081962,0.71474,7.80E-11,5.56E-10,-0.28087,-5.3697,0.11382,0.72468,7.89E-08,4.75E-07
ZWINT,6,0.083269,1.6545,0.87637,0.98903,0.098034,0.13981,-0.03182,-0.55667,0.66028,0.96698,0.57775,0.65809,-0.24779,-4.5814,0.16479,0.79269,4.62E-06,1.57E-05,-0.024351,-0.4629,0.72267,0.96434,0.64344,0.71021
M1AP,6,0.083273,1.6542,0.87628,0.98903,0.098078,0.13985,0.080656,1.4231,0.88173,0.98918,0.15472,0.222,0.10861,2.1275,0.78616,0.98025,0.033376,0.053916,-0.0019061,-0.03619,0.81733,0.97895,0.97113,0.97885
FN3KRP,6,0.08328,1.6591,0.87628,0.98903,0.097092,0.13861,0.25504,4.7609,0.28402,0.87292,1.93E-06,9.56E-06,0.085358,1.6761,0.87421,0.98604,0.093719,0.13414,0.094355,1.8383,0.76924,0.97107,0.066013,0.1047
SNW1,6,0.083296,1.5744,0.87623,0.98903,0.1154,0.1612,-0.015458,-0.25095,0.72491,0.97333,0.80185,0.8498,-0.18192,-3.1923,0.26601,0.85401,0.0014112,0.0030663,-0.17501,-3.0327,0.26257,0.85245,0.0024236,0.0056826
SLC9A9,6,0.083308,1.7218,0.87623,0.98903,0.0851,0.1234,0.056186,1.0432,0.98423,0.99754,0.29687,0.38287,0.13829,2.8364,0.67664,0.96708,0.0045632,0.0089336,0.0096483,0.1922,0.86459,0.98502,0.84759,0.88287
TMEM132A,6,0.083317,1.6351,0.87619,0.98903,0.10203,0.14473,-0.14988,-2.5239,0.31125,0.88613,0.011605,0.023625,0.13364,2.5999,0.69351,0.96914,0.0093247,0.017067,0.082007,1.5671,0.82214,0.97947,0.11709,0.17153
TNNT3,6,0.08333,1.4892,0.87605,0.98903,0.13644,0.18698,0.018532,0.30084,0.8601,0.98857,0.76354,0.81792,-0.082461,-1.4517,0.5107,0.93402,0.14659,0.19846,-0.042217,-0.73984,0.65276,0.95631,0.4594,0.54172
CAMTA1,6,0.083345,1.705,0.876,0.98903,0.088196,0.12737,0.12371,2.3376,0.70488,0.97169,0.019409,0.037088,0.13436,2.7294,0.69053,0.96788,0.0063442,0.012045,0.17318,3.5069,0.4656,0.92936,0.00045331,0.0012543
KLHL33,6,0.083369,1.7195,0.87591,0.98903,0.085517,0.12395,0.24126,4.3769,0.31598,0.88727,1.20E-05,5.07E-05,-0.31582,-6.0301,0.097364,0.72546,1.64E-09,9.60E-09,-0.24462,-4.6761,0.15219,0.77679,2.92E-06,1.30E-05
TRHR,6,0.083374,1.6186,0.87591,0.98903,0.10553,0.14916,0.13043,2.2571,0.6777,0.96849,0.024002,0.044603,0.13331,2.5606,0.69461,0.96918,0.01045,0.018917,0.23912,4.6271,0.27692,0.86226,3.71E-06,1.62E-05
ZBTB49,6,0.083403,1.7678,0.87587,0.98903,0.077094,0.11303,0.3315,6.6898,0.14458,0.79869,2.23E-11,2.82E-10,-0.022035,-0.4543,0.71267,0.97257,0.64961,0.71116,-0.23491,-4.6447,0.16443,0.78783,3.41E-06,1.50E-05
FAM89A,6,0.083451,1.6828,0.87573,0.98903,0.092415,0.13271,0.11065,1.9991,0.75696,0.97705,0.0456,0.077802,0.36798,7.6149,0.13747,0.77335,2.64E-14,3.00E-13,0.23548,4.7319,0.28687,0.8721,2.22E-06,1.02E-05
PLK5,6,0.083464,1.4521,0.87568,0.98903,0.14647,0.19893,0.17747,2.7806,0.50685,0.94621,0.0054259,0.012143,-0.12439,-2.0445,0.39175,0.90137,0.040905,0.064559,0.0083729,0.13975,0.85909,0.98407,0.88885,0.91585
SDHC,6,0.083485,1.7467,0.87559,0.98903,0.080691,0.11762,-0.23885,-4.2843,0.16603,0.81536,1.83E-05,7.41E-05,0.0415,0.85133,0.95425,0.99443,0.39459,0.46828,-0.19282,-3.7832,0.23062,0.83411,0.00015483,0.0004764
SPATA31D1,6,0.083494,1.7663,0.87559,0.98903,0.077352,0.11339,0.1705,3.338,0.52876,0.94701,0.00084381,0.002316,-0.26846,-4.9479,0.14142,0.7758,7.50E-07,2.92E-06,-0.19074,-3.7826,0.23397,0.83456,0.0001552,0.00047725
CENPV,6,0.083677,1.428,0.87477,0.98901,0.15329,0.20703,0.43165,6.6177,0.053312,0.66591,3.65E-11,4.40E-10,0.23859,4.1153,0.37052,0.89036,3.87E-05,0.00011258,0.083228,1.3603,0.81747,0.97895,0.17373,0.24062
CIR1,6,0.0837,1.7595,0.87467,0.98901,0.07849,0.11483,0.21532,4.2441,0.38602,0.91324,2.19E-05,8.71E-05,0.15883,3.3253,0.60633,0.95433,0.00088313,0.0020012,0.065545,1.3456,0.89328,0.98998,0.17844,0.24619
PELI2,6,0.083701,1.6947,0.87467,0.98901,0.090134,0.12988,0.24669,4.6159,0.30218,0.88113,3.91E-06,1.82E-05,0.066832,1.3261,0.94467,0.99241,0.18479,0.24305,0.11179,2.211,0.69709,0.96175,0.027039,0.048094
GPSM1,6,0.083724,1.5584,0.87463,0.98901,0.11914,0.16586,0.20568,3.514,0.41471,0.9241,0.00044142,0.0012966,0.08118,1.4848,0.89127,0.98836,0.13758,0.1878,-0.15655,-2.7143,0.3036,0.88073,0.0066418,0.013917
CATSPERG,6,0.083755,1.5284,0.87454,0.98901,0.12642,0.17489,0.29371,4.9636,0.20339,0.84038,6.92E-07,3.75E-06,0.017684,0.31265,0.86,0.98382,0.75455,0.80162,0.24851,4.5273,0.254,0.84933,5.97E-06,2.49E-05
CXCL5,6,0.083765,1.6209,0.87454,0.98901,0.10503,0.14856,0.29687,5.3614,0.19794,0.83885,8.26E-08,5.39E-07,0.3321,6.5608,0.18231,0.80461,5.35E-11,3.91E-10,0.17379,3.3182,0.46326,0.92821,0.00090591,0.0023437
ATP6V1F,6,0.083782,1.6281,0.87449,0.98901,0.1035,0.14662,-0.10291,-1.7458,0.43319,0.93021,0.080841,0.12739,-0.21786,-3.9717,0.20633,0.82752,7.14E-05,0.00019815,-0.30668,-5.4414,0.092138,0.69207,5.29E-08,3.30E-07
FAM150B,6,0.083791,1.6124,0.87449,0.98901,0.10687,0.15067,0.39464,7.5569,0.07857,0.71836,4.13E-14,7.98E-13,-0.2332,-4.3702,0.18377,0.80646,1.24E-05,3.94E-05,-0.047108,-0.90136,0.6342,0.95586,0.3674,0.45089
MCEE,6,0.083883,1.626,0.87408,0.98901,0.10395,0.14723,0.35236,6.3012,0.11941,0.77994,2.95E-10,3.04E-09,0.24486,4.7134,0.35581,0.88679,2.44E-06,8.73E-06,0.25755,4.914,0.23365,0.83456,8.92E-07,4.41E-06
DHRS7B,6,0.083889,1.6705,0.87408,0.98901,0.094811,0.13573,0.13763,2.4732,0.65042,0.96656,0.013392,0.026761,0.032811,0.63634,0.91973,0.99078,0.52456,0.59579,-0.03338,-0.63243,0.68801,0.96067,0.52711,0.60514
ECI1,6,0.083921,1.5798,0.87385,0.98901,0.11416,0.15964,0.037239,0.62162,0.93541,0.99456,0.53419,0.61831,0.093041,1.7056,0.84446,0.98294,0.088077,0.12706,0.25105,4.7206,0.24822,0.84651,2.35E-06,1.07E-05
SLC2A5,6,0.083944,1.6091,0.8738,0.98901,0.10759,0.15155,0.25299,4.4584,0.28838,0.87645,8.26E-06,3.60E-05,-0.1271,-2.2958,0.38501,0.89859,0.021686,0.036664,0.14927,2.8069,0.54802,0.9426,0.0050026,0.010808
APPBP2,6,0.083983,1.6099,0.87353,0.989,0.10742,0.15134,-0.079087,-1.2763,0.50282,0.94621,0.20187,0.27782,0.12189,2.3058,0.73711,0.97577,0.02112,0.035797,0.10268,1.9116,0.73381,0.96508,0.05593,0.090539
MCFD2,6,0.083999,1.6928,0.87348,0.989,0.0905,0.13032,0.076622,1.4069,0.89759,0.99044,0.15946,0.22785,-0.13653,-2.6257,0.36214,0.8881,0.0086483,0.01594,-0.087583,-1.6803,0.49287,0.9335,0.092894,0.14035
HAPLN3,6,0.084033,1.6754,0.87325,0.98889,0.093852,0.13455,0.43919,8.4269,0.050057,0.66062,3.55E-17,1.11E-15,0.48152,9.9621,0.053449,0.66401,2.23E-23,7.09E-22,0.28909,5.7882,0.17621,0.7934,7.11E-09,5.20E-08
MEFV,6,0.08404,1.7192,0.87311,0.98879,0.085586,0.12404,0.17481,3.2778,0.51474,0.94701,0.0010461,0.0028009,0.3677,7.7005,0.1378,0.77335,1.36E-14,1.61E-13,0.47631,10.03,0.028696,0.59095,1.12E-23,7.25E-22
HSPA9,6,0.08405,1.7363,0.87311,0.98879,0.082515,0.11996,0.052302,0.97718,0.99995,1,0.32848,0.41732,0.05092,1.0317,0.98992,0.99843,0.30219,0.37282,-0.090319,-1.7746,0.4838,0.93121,0.075956,0.11815
BIN2,6,0.084057,1.7128,0.87311,0.98879,0.086746,0.12552,0.065464,1.2098,0.94536,0.99489,0.22635,0.30541,-0.11337,-2.2116,0.42026,0.91047,0.026991,0.044622,-0.080719,-1.5669,0.51538,0.93801,0.11714,0.17158
FNBP1L,6,0.084059,1.6888,0.87311,0.98879,0.091248,0.13126,0.00044216,0.0077574,0.7851,0.98053,0.99381,0.99619,0.33784,6.9367,0.1736,0.79642,4.01E-12,3.40E-11,-0.12558,-2.3564,0.38015,0.90555,0.018455,0.034409
KCNT1,6,0.084103,1.5947,0.87298,0.98879,0.11078,0.15543,-0.13853,-2.2709,0.33903,0.8949,0.023153,0.04327,-0.039617,-0.72458,0.65074,0.96375,0.46871,0.54146,-0.14656,-2.6045,0.32666,0.89169,0.0092005,0.018584
TMEM217,6,0.08411,1.6329,0.87298,0.98879,0.10249,0.14531,0.010094,0.16869,0.82485,0.98517,0.86604,0.90068,0.13811,2.6539,0.67715,0.96708,0.0079561,0.014775,-0.099377,-1.796,0.45446,0.9243,0.072501,0.11354
SCGB3A2,6,0.084155,1.51,0.87256,0.98878,0.13103,0.18053,0.05636,1.1036,0.98364,0.99744,0.26975,0.35345,0.10846,2.3003,0.78675,0.98025,0.021429,0.03627,0.1692,3.5872,0.47875,0.93021,0.00033426,0.00095343
MIIP,6,0.084214,1.7282,0.87229,0.98862,0.083953,0.12185,0.065932,1.2153,0.94339,0.99489,0.22427,0.30321,0.11455,2.324,0.76502,0.97974,0.020127,0.034291,0.076894,1.5359,0.84332,0.9817,0.12456,0.18088
ADORA1,6,0.08422,1.6741,0.87229,0.98862,0.094104,0.13483,0.20569,3.8049,0.41471,0.9241,0.00014187,0.00046943,0.15502,3.066,0.61967,0.95956,0.0021695,0.0045277,0.24774,4.9178,0.25597,0.84942,8.75E-07,4.34E-06
ZACN,6,0.084228,1.6822,0.87224,0.98862,0.092522,0.13285,-0.092552,-1.5732,0.46202,0.93429,0.11568,0.17302,0.0692,1.3534,0.93596,0.99204,0.17594,0.23293,0.20427,4.0436,0.37002,0.90481,5.26E-05,0.00018003
ABHD12,6,0.084229,1.8358,0.8722,0.98862,0.066384,0.099027,0.1952,3.9979,0.4474,0.93112,6.39E-05,0.00022846,-0.12323,-2.5888,0.39482,0.90327,0.0096315,0.017581,-0.11528,-2.4037,0.4083,0.91572,0.016229,0.030733
ZNF76,6,0.084247,1.7625,0.8722,0.98862,0.077993,0.11423,-0.13623,-2.5043,0.34417,0.89641,0.012271,0.024795,-0.28644,-5.6018,0.12138,0.7529,2.12E-08,1.06E-07,-0.27556,-5.3423,0.11914,0.7326,9.18E-08,5.45E-07
